dataset,stratum,size_stratum,n_samples,n_features,ordinal,target_n_unique,unique_frac,frac_zero_diffs,non_continuous,target_class,reason
qsar_tid_11,S3,Medium (1K-10K),5742,1024.0,False,1387,0.241553,0.758579,False,continuous,continuous
sulfur,S3,Large (>=10K),10081,6.0,False,9368,0.929273,0.070734,False,continuous,continuous
superconduct,S3,Large (>=10K),21263,79.0,False,3007,0.141419,0.858621,False,continuous,continuous
abalone,S3,Medium (1K-10K),4177,7.0,False,28,0.006703,0.993534,True,non-continuous,count
Allstate_Claims_Severity,S4,Large (>=10K),188318,130.0,False,158223,0.840191,0.15981,False,continuous,continuous
Brazilian_houses,S4,Large (>=10K),10692,8.0,False,5751,0.537879,0.462164,False,continuous,continuous
MiamiHousing2016,S4,Large (>=10K),13932,13.0,False,2111,0.151522,0.848539,False,continuous,continuous
california_housing,S4,Large (>=10K),20640,8.0,False,3842,0.186143,0.813896,False,continuous,continuous
diamonds,S4,Large (>=10K),53940,6.0,False,11602,0.215091,0.784924,False,continuous,continuous
fiat_500_price,S4,Medium (1K-10K),1538,7.0,False,222,0.144343,0.856213,False,continuous,continuous
healthcare_insurance,S4,Medium (1K-10K),1338,6.0,False,1337,0.999253,0.000748,False,continuous,continuous
house_16H,S4,Large (>=10K),22784,16.0,False,2045,0.089756,0.910284,False,continuous,continuous
house_sales,S4,Large (>=10K),21613,15.0,False,4028,0.186369,0.813668,False,continuous,continuous
medical_charges,S4,Large (>=10K),163065,3.0,False,154891,0.949873,0.050128,False,continuous,continuous
nyc-taxi-green-dec-2016,S4,Large (>=10K),581835,9.0,False,1811,0.003113,0.996889,False,continuous,continuous
pmlb_218_house_8L,S4,Small (<1K),0,,False,2045,0.089756,0.910284,False,continuous,continuous
power_grid_stability,S4,Large (>=10K),10000,12.0,False,10000,1.0,0.0,False,continuous,continuous
synthetic_multithreshold,S4,Small (<1K),750,6.0,False,750,1.0,0.0,False,continuous,continuous
synthetic_piecewise,S4,Medium (1K-10K),2000,5.0,False,2000,1.0,0.0,False,continuous,continuous
synthetic_step,S4,Medium (1K-10K),2000,8.0,False,2000,1.0,0.0,False,continuous,continuous
